location,reviewer_name,is_local_guide,contributor_info,rating,time,text,likes,has_photo,owner_response
Harbour Bay Ferry Terminal,francis ng,True,Local Guide · 36 ulasan · 38 foto,5 bintang,3 tahun lalu,"Saya sudah lama tidak ke sana karena COVID-19, tetapi tempat itu masih bagus.",0,False,
Harbour Bay Ferry Terminal,Jonson Tamba,True,Local Guide · 71 ulasan · 1 foto,4 bintang,5 tahun lalu,Oke,0,False,
Harbour Bay Ferry Terminal,EKO ADI SAPUTRO,True,Local Guide · 19 ulasan · 14 foto,3 bintang,4 tahun lalu,Sepi sejak pandemi,0,False,
Harbour Bay Ferry Terminal,EL ULIMY,True,Local Guide · 359 ulasan · 3.894 foto,5 bintang,4 tahun lalu,"Ada beberapa ferry di tempat ini, sebelum covid digunakan untuk menyeberang ke SG.",3,True,
Harbour Bay Ferry Terminal,Moch Yoga Pradana,True,Local Guide · 26 ulasan · 45 foto,5 bintang,4 tahun lalu,Bagus,0,False,
Harbour Bay Ferry Terminal,Al Fajri,True,Local Guide · 22 ulasan · 3 foto,5 bintang,4 tahun lalu,pelabuah  international dekat dengan hotel,0,False,
Harbour Bay Ferry Terminal,Kivlan Zein,False,1 ulasan,1 bintang,8 tahun lalu,Tempat ini ojek pangkalannya tdk ramah dgn penumpang aplagi dgn penumpang yg memakai jasa angkutan online...kalau kasi harga seenaknya...mahalnya selangit tlong di tertibkan opangnya,0,False,
Harbour Bay Ferry Terminal,strawberryjamm,True,Local Guide · 8 ulasan · 25 foto,1 bintang,11 bulan lalu,"Korupsi 🐀 Saya membayar tambahan Rp80.000 untuk bagasi saya. Mereka bilang jika bagasi saya melebihi 20kg, saya harus membayar Rp50.000/kg, jadi saya membayar Rp100.000 dan baru menyadari saya hanya perlu membayar Rp20.000 💀 Hati-hati semuanya! …",0,False,
Harbour Bay Ferry Terminal,Nuur Syafiqah,True,Local Guide · 116 ulasan · 36 foto,2 bintang,2 tahun lalu,"Ada banyak orang, tetapi tidak ada sistem yang memadai. Kamu yang pintar, tanyakan saja. Kita semua ketinggalan feri karena tidak ada pengumuman yang tepat.",0,True,
Harbour Bay Ferry Terminal,Moe,True,Local Guide · 308 ulasan · 362 foto,4 bintang,8 tahun lalu,"Terminal feri yang nyaman, lebih sedikit kemacetan, lebih sedikit penumpang, dan perjalanan lebih cepat ke Singapura.",0,False,
Harbour Bay Ferry Terminal,Agung Juliansyah,True,Local Guide · 76 ulasan · 298 foto,5 bintang,6 tahun lalu,"Salah satu pelabuhan ferry internasional terbaik saat ini di Batam, Port ini sudah menerapkan Auto Gate seperti di Singapura. Tempatnya dekat dengan banyak hotel di area Harbour bay. Didalamnya juga ada tempat nongkrong Starbucks dan Morning bakery",0,True,
Harbour Bay Ferry Terminal,Dzul Tee,True,Local Guide · 337 ulasan · 474 foto,4 bintang,5 bulan lalu,Banyak sekali tokonya! Seperti di bandara!,0,True,
Harbour Bay Ferry Terminal,Fonz Row,True,Local Guide · 472 ulasan · 201 foto,4 bintang,7 tahun lalu,"Terminal feri ini terlihat menjanjikan jika dibandingkan dengan terminal feri lain di Batam. Ada beberapa proyek yang sedang berlangsung di sini, selain beberapa apartemen dan hotel baru yang sedang dibangun, mereka juga memperluas gedung terminal dengan Starbucks baru dan beberapa toko di dalamnya.",0,False,
Harbour Bay Ferry Terminal,Alifa Safira,False,1 ulasan,4 bintang,4 tahun lalu,Tugas pam lebaran,0,False,
Harbour Bay Ferry Terminal,Fanny Tirta Sari,True,Local Guide · 137 ulasan · 495 foto,5 bintang,3 tahun lalu,"Terminal Feri Harbour Bay adalah salah satu pelabuhan Batam di seluruh pulau. Terletak di dalam mal dan di samping Hotel JW Marriot. Dari sini kita bisa pergi ke Singapura dan Malaysia, Puteri Harbour. Loket tiket terletak di lantai 2 di dalam mal, pastikan untuk mengikuti petunjuk dan rambu, Anda tidak akan tersesat. Untuk keberangkatan pertama di pagi hari, perlu menuju gerbang dekat Starbucks, karena gerbang utama mungkin belum dibuka.",4,True,
Harbour Bay Ferry Terminal,- AlvinWS -,True,Local Guide · 36 ulasan,5 bintang,4 tahun lalu,Terminal feri Harbour Bay mulai beroperasi kembali setelah 2 tahun...,1,False,
Harbour Bay Ferry Terminal,Adiputra TV,False,5 ulasan · 2 foto,1 bintang,7 tahun lalu,Monopoli taksi yang mengerikan dan terlalu mahal di pelabuhan.,0,False,
Harbour Bay Ferry Terminal,Johan Batam,True,Local Guide · 62 ulasan · 304 foto,5 bintang,6 tahun lalu,"Mal, hotel, dan terminal feri terintegrasi.",0,False,
Harbour Bay Ferry Terminal,Syarfin Saragih,True,Local Guide · 9 ulasan · 9 foto,4 bintang,3 tahun lalu,Menyukai,0,False,
Harbour Bay Ferry Terminal,Delly Iswandi,True,Local Guide · 209 ulasan · 1.940 foto,4 bintang,Diedit 5 tahun lalu,"Tempat yang bagus, bersih, higienis, dan nyaman.",9,False,
Harbour Bay Ferry Terminal,Hendra Tamara,True,Local Guide · 10 ulasan · 9 foto,1 bintang,7 tahun lalu,Banyak maling di parkiran,0,False,
Harbour Bay Ferry Terminal,Selvino Rumanti,False,8 ulasan · 11 foto,5 bintang,3 tahun lalu,"Pelabuhan sekaligus tempat belanja oleh2
Ngga perlu keliling mall u cari souvenir
Pelayanan di harbour bay ferry juga ramah",0,True,
Harbour Bay Ferry Terminal,Nurawr Oh,True,Local Guide · 31 ulasan · 10 foto,2 bintang,9 bulan lalu,"Penumpang yang tidak memiliki tiket kelas bisnis dapat masuk dan naik feri bersama kami. Tidak ada sistem untuk memeriksa tiket dengan benar - buang-buang uang jika Anda membeli tiket Kelas Bisnis untuk memprioritaskan naik feri. Stafnya berantakan dan tidak teratur.

Salah satu staf memberi tahu kami (keluarga dengan bayi dan anak kecil) bahwa kami harus duduk di area umum terlebih dahulu, tidak perlu mengantre untuk masuk dulu dan mereka akan memanggil kami untuk memberi tahu kami bahwa kami dapat masuk. Tetapi pada akhirnya tidak ada yang melakukannya dan kami harus bergegas bergabung dengan antrean yang sudah terbentuk.

Toko-toko di sana cukup memadai untuk mengisi waktu kami sambil menunggu proses naik feri dimulai.",0,False,
Harbour Bay Ferry Terminal,yume,True,Local Guide · 256 ulasan · 48 foto,1 bintang,3 tahun lalu,"Saya tidak memiliki rupee Indonesia di kartu VISA saya, jadi saya ditipu dengan menggunakan ringgit Indonesia.",0,False,
Harbour Bay Ferry Terminal,Fyntia Warouw,True,Local Guide · 250 ulasan · 351 foto,4 bintang,8 tahun lalu,"Lumayan bersih dan besar. Bagian depannya jg mulai ditata bagus. Cari taxi gampang, hotel bisa lsg jalan kaki.",0,False,
Harbour Bay Ferry Terminal,Halim Ishnan,True,Local Guide · 29 ulasan · 298 foto,5 bintang,setahun lalu,Cantik,0,False,
Harbour Bay Ferry Terminal,Zulin Muflihah,True,Local Guide · 17 ulasan · 71 foto,3 bintang,5 tahun lalu,Nyaman,1,False,
